empresa_id,region,sector,actividad_ciiu,tamano,anio_ruc,personal_ocupado,remuneraciones,produccion_total,ventas_bienes_producidos,ventas_mercaderias,ventas_servicios,materia_prima,suministros_repuestos,total_insumos,consumo_intermedio,valor_agregado,gastos_operacionales,total_gastos_operacionales,gastos_financieros,arrendamientos,depreciaciones,formacion_capital_fijo,agua_m3,factor_expansion
EMP-1851,Costa,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,2005,9,152587,1216187,0,29335319.0,16233.0,0,6889.0,6889.0,935858,280329,667722,928969,82222,18263.0,11656,0.0,0.0,1.0
EMP-1852,Sierra,Servicios,Transporte y almacenamiento,Grande Empresa,2010,0,572258,18695655,0,0.0,18695655.0,0,4017.0,4017.0,14754069,3941586,1460861,14750052,0,0.0,0,0.0,0.0,1.0
EMP-1853,Costa,Manufactura,Industrias manufactureras,Mediana Empresa B,2011,46,1045447,2794782,0,3655220.0,966382.0,0,238109.0,238109.0,1083402,1711380,295506,845293,45104,30039.0,26285,288294.0,476.0,1.0
EMP-1854,Sierra,Servicios,Actividades de atención de la salud humana y de asistencia social,Grande Empresa,1992,165,3146383,8291601,0,0.0,7092722.0,0,2686684.0,2686684.0,4445035,3846566,558747,1758351,13308,5038.0,178467,28783.0,10290.0,1.0
EMP-1855,Sierra,Manufactura,Industrias manufactureras,Grande Empresa,1996,110,3257849,14900966,11339545,2430159.0,2370040.0,5923533,102416.0,6025949.0,6935671,7965295,485972,909722,66057,7444.0,363755,171064.0,1188.0,1.0
EMP-1856,Costa,Manufactura,Industrias manufactureras,Grande Empresa,2003,56,665045,12746011,12308703,0.0,0.0,10062232,75310.0,10137542.0,11023971,1722040,649714,886429,25411,0.0,165913,178837.0,0.0,1.0
EMP-1857,Costa,Servicios,Transporte y almacenamiento,Grande Empresa,2007,71,2072111,15193198,0,0.0,15090331.0,0,423113.0,423113.0,9651673,5541525,1462516,9228560,0,0.0,565066,-143175.0,0.0,1.0
EMP-1858,Sierra,Servicios,Transporte y almacenamiento,Grande Empresa,1980,34,322811,951269,0,10981152.0,427026.0,0,8334.0,8334.0,516091,435178,411933,507757,0,15000.0,20205,-15652.0,2287.0,1.0
EMP-1859,Sierra,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,1983,36,758098,1832648,0,12781613.0,0.0,0,39874.0,39874.0,421784,1410864,287085,381910,0,96000.0,18052,0.0,393.0,1.0
EMP-1860,Costa,Manufactura,Industrias manufactureras,Grande Empresa,2008,26,608716,15989855,15860608,0.0,0.0,13363738,8522.0,13372260.0,14506958,1482897,761131,1134698,1772,0.0,293655,106707.0,3792.0,1.0
EMP-1861,Costa,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,1998,0,0,234051,0,5790665.0,0.0,0,0.0,0.0,83341,150710,57758,83341,360,1920.0,7779,0.0,0.0,1.0
EMP-1862,Costa,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,2003,18,163631,426991,0,6721172.0,0.0,0,4331.0,4331.0,212137,214854,139716,207806,0,0.0,13609,0.0,0.0,1.0
EMP-1863,Sierra,Servicios,Transporte y almacenamiento,Grande Empresa,2008,777,8726120,20683543,0,0.0,20265850.0,0,9482.0,9482.0,11351599,9331944,90986,11342117,7492,1400.0,55000,44950.0,0.0,1.0
EMP-1864,Sierra,Manufactura,Industrias manufactureras,Grande Empresa,1981,202,1926754,11501287,11014379,1625134.0,0.0,5899320,206423.0,6105743.0,8486986,3014301,1410064,2381243,19026,311494.0,178636,213915.0,35849.0,1.0
EMP-1865,Sierra,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,2002,15,222392,1030898,0,10812675.0,0.0,0,105126.0,105126.0,615020,415878,102283,509894,0,0.0,56945,329504.0,1013.0,1.0
EMP-1866,Costa,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Mediana Empresa B,2003,5,71877,540686,0,4151229.0,0.0,0,92018.0,92018.0,301295,239391,39201,209277,0,0.0,25103,0.0,0.0,1.0
EMP-1867,Costa,Servicios,Actividades de servicios administrativos y de apoyo,Grande Empresa,2010,1244,8630032,11076323,0,0.0,11031592.0,0,743917.0,743917.0,1772933,9303390,558327,1029016,21718,83275.0,59692,97728.0,0.0,1.0
EMP-1868,Costa,Servicios,Información y comunicación,Mediana Empresa B,2002,56,826497,2109046,0,0.0,2109046.0,0,44400.0,44400.0,888138,1220908,421811,843738,1369,233148.0,74075,15721.0,385.0,12.85748143
EMP-1869,Sierra,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Mediana Empresa B,2008,27,431977,935579,0,4277896.0,0.0,0,16465.0,16465.0,422933,512646,324890,406468,52787,144565.0,2986,2166.0,815.0,1.0
EMP-1870,Sierra,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,2008,16,283312,1698755,0,7442128.0,0.0,0,122.0,122.0,1421217,277538,167153,1421095,1090,7497.0,1214,2277.0,0.0,1.0
EMP-1871,Costa,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,2006,20,598297,3378917,0,8093957.0,0.0,0,9239.0,9239.0,1143811,2235106,954381,1134572,2890,211861.0,44061,68857.0,0.0,1.0
EMP-1872,Costa,Servicios,Actividades inmobiliarias,Grande Empresa,1997,83,2331865,10343077,0,0.0,10343077.0,0,2597.0,2597.0,7706476,2636601,874917,7703879,0,0.0,83803,6092.0,0.0,1.0
EMP-1873,Costa,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,2001,8,157388,495458,0,9618693.0,0.0,0,0.0,0.0,267890,227568,64680,267890,14987,0.0,19775,0.0,1010.0,1.0
EMP-1874,Sierra,Servicios,Actividades de servicios administrativos y de apoyo,Mediana Empresa B,2004,276,1527326,2105635,0,0.0,2105635.0,0,274995.0,274995.0,459832,1645803,175904,184837,3205,2634.0,36476,17076.0,309.0,10.60309278
EMP-1875,Sierra,Construcción,Construcción,Grande Empresa,2009,66,942521,3558319,0,6499108.0,3122618.0,0,82000.0,82000.0,2218425,1339894,1472248,2136425,48378,73447.0,78796,26938.0,48.0,1.0
EMP-1876,Costa,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,2010,122,1285696,46879461,0,54619760.0,0.0,0,0.0,0.0,43660758,3218703,993100,43660758,34125,63490.0,345734,185169.0,652.0,1.0
EMP-1877,Sierra,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,1996,16,180355,1393098,0,5570606.0,565112.0,0,23879.0,23879.0,688679,704419,518591,664800,0,0.0,171996,179671.0,2468.0,1.0
EMP-1878,Sierra,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,2001,3,59777,209169,0,11536327.0,0.0,0,2417.0,2417.0,234660,-25491,142880,232243,1098,55741.0,0,0.0,0.0,1.0
EMP-1879,Amazonía,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,2007,8,67281,560242,0,5261930.0,0.0,0,7674.0,7674.0,406917,153325,281153,399243,0,0.0,12130,8343.0,1200.0,1.0
EMP-1880,Sierra,Manufactura,Industrias manufactureras,Mediana Empresa A,1993,53,173843,1360490,1385658,0.0,0.0,745943,18280.0,764223.0,1019733,340757,68837,255510,5311,0.0,75741,0.0,17006.0,1.0
EMP-1881,Amazonía,Manufactura,Industrias manufactureras,Grande Empresa,1995,92,1949846,5107220,2154702,0.0,2952518.0,247034,716925.0,963959.0,2177906,2929314,429243,1213947,9108,1447.0,202552,5617.0,0.0,1.0
EMP-1882,Costa,Manufactura,Industrias manufactureras,Grande Empresa,2004,176,3351498,12554761,12902646,0.0,178053.0,6521985,283907.0,6805892.0,8679750,3875011,1379476,1873858,19502,13189.0,186488,196119.0,0.0,1.0
